instrument_id,instrument_name,instrument_type,week,test_count,error_count,critical_error_count,error_rate,critical_error_rate,short_id,display_id
055dc39a-2794-458a-8e8c-464646a22267,OptiFlash 2,OptiFlash,2024-07-29 00:00:00+00:00,1,0,0,0.0,0.0,OF07,OF07
0889e4ec-1473-4d57-a5cb-df61853edf03,25467 OPTIDIST #8,OptiDist,2024-05-06 00:00:00+00:00,88,108,39,1.2272727272727273,0.4431818181818182,OD04,OD04
0889e4ec-1473-4d57-a5cb-df61853edf03,25467 OPTIDIST #8,OptiDist,2024-05-13 00:00:00+00:00,26,45,18,1.7307692307692308,0.6923076923076923,OD04,OD04
0889e4ec-1473-4d57-a5cb-df61853edf03,25467 OPTIDIST #8,OptiDist,2024-05-20 00:00:00+00:00,3,0,0,0.0,0.0,OD04,OD04
0889e4ec-1473-4d57-a5cb-df61853edf03,25467 OPTIDIST #8,OptiDist,2024-05-27 00:00:00+00:00,88,129,45,1.4659090909090908,0.5113636363636364,OD04,OD04
0889e4ec-1473-4d57-a5cb-df61853edf03,25467 OPTIDIST #8,OptiDist,2024-06-03 00:00:00+00:00,47,25,4,0.5319148936170213,0.0851063829787234,OD04,OD04
0889e4ec-1473-4d57-a5cb-df61853edf03,25467 OPTIDIST #8,OptiDist,2024-06-10 00:00:00+00:00,68,68,25,1.0,0.36764705882352944,OD04,OD04
0889e4ec-1473-4d57-a5cb-df61853edf03,25467 OPTIDIST #8,OptiDist,2024-06-17 00:00:00+00:00,67,49,16,0.7313432835820896,0.23880597014925373,OD04,OD04
0889e4ec-1473-4d57-a5cb-df61853edf03,25467 OPTIDIST #8,OptiDist,2024-06-24 00:00:00+00:00,71,140,63,1.971830985915493,0.8873239436619719,OD04,OD04
0889e4ec-1473-4d57-a5cb-df61853edf03,25467 OPTIDIST #8,OptiDist,2024-07-01 00:00:00+00:00,65,140,47,2.1538461538461537,0.7230769230769231,OD04,OD04
0889e4ec-1473-4d57-a5cb-df61853edf03,25467 OPTIDIST #8,OptiDist,2024-07-08 00:00:00+00:00,73,44,14,0.6027397260273972,0.1917808219178082,OD04,OD04
0889e4ec-1473-4d57-a5cb-df61853edf03,25467 OPTIDIST #8,OptiDist,2024-07-15 00:00:00+00:00,40,15,2,0.375,0.05,OD04,OD04
0889e4ec-1473-4d57-a5cb-df61853edf03,25467 OPTIDIST #8,OptiDist,2024-08-05 00:00:00+00:00,68,91,46,1.338235294117647,0.6764705882352942,OD04,OD04
0889e4ec-1473-4d57-a5cb-df61853edf03,25467 OPTIDIST #8,OptiDist,2024-08-12 00:00:00+00:00,95,263,155,2.768421052631579,1.631578947368421,OD04,OD04
